sample_id	density	production	prod_level
M_D_TasdA1_P_asdD_000_DmetL_I_6_M1	0.14	0.0	None
7_D_TasdA_P_asdD_000_DdapA_I_24_M1	1.26	0.112	Low
M_D_Tasd_P_asdD_rhtA_DdhaM_0_5p5_M1	0.06	0.0	None
7_D_TasdA_P_asdD_aspC_Dtdh_0_24_M1	6.42	1.208115501	High
7_D_TasdA_P_asdD_aceBA_DdhaM_0_4p5_M1	0.51	0.052501181	Low
7_D_Tasd_P_asdD_000_DrhtA_I_12_M1	0.29	0.0	None
7_D_TasdA1_P_asdD_rhtA_DlysA_0_24_M1	0.06	0.0	None
M_D_TasdA_P_asdD_rhtA_DtdhDdapA_I_24_M1	0.35	0.06619699	Low
7_D_TasdA1_P_asdD_000_DtdhDdapA_0_12_M1	0.14	0.0	None
7_D_TasdA_P_asdD_zwf_DtdhDdapA_0_6_M1	0.23	0.0	None
M_D_TasdA_P_asdD_zwf_DtdhDptsG_I_5p5_M1	0.0	0.008	Low
7_D_TasdA1_P_asdD_pyc_DtdhDrhtA_I_5p5_M1	0.53	0.0	None
M_D_Tasd_P_asdD_rhtA_DtdhDdapA_0_5p5_M1	0.21	0.0	None
M_D_TasdA_P_asdD_zwf_DdapA_I_6_M1	0.58	0.001802106	Low
M_D_Tasd_P_asdD_000_DtdhDlysA_I_12_M1	0.25	0.0	None
M_D_Tasd_P_asdD_rhtA_DptsG_I_5p5_M1	0.22	0.0	None
M_D_TasdA1_P_asdD_rhtA_DtdhDmetL_I_24_M1	1.0	0.021	Low
M_D_Tasd_P_asdD_pyc_DtdhDlysC_0_12_M1	0.04	0.0	None
7_D_TasdA1_P_asdD_pyc_DtdhDdapA_I_6_M1	0.0	0.0	None
M_D_TasdA_P_asdD_aceBA_DtdhDdapA_0_12_M1	0.68	0.015850915	Low
7_D_TasdA1_P_asdD_rhtA_DdhaM_I_6_M1	0.21	0.0	None
7_D_TasdA1_P_asdD_000_DlysC_0_12_M1	0.65	0.0	None
7_D_TasdA1_P_asdD_rhtA_DlysC_I_12_M1	0.31	0.031906774	Low
7_D_Tasd_P_asdD_rhtA_DtdhDlysC_0_6_M1	0.15	0.0	None
M_0_0_0_asdO_000_D000_0_12_M1	3.83	0.0	None
M_D_TasdA_P_asdD_aspC_Dtdh_0_4p5_M1	0.38	0.04107187	Low
M_D_Tasd_P_asdD_000_DdhaM_0_6_M1	0.17	0.0	None
M_D_Tasd_P_asdD_000_DdapA_0_4p5_M1	0.24	0.0	None
M_D_TasdA_P_asdD_aceBA_DtdhDlysA_0_4p5_M1	0.18	0.024741735	Low
M_D_Tasd_P_asdD_000_DtdhDlysC_0_5p5_M1	0.25	0.0	None
M_D_Tasd_P_asdD_000_D000_I_12_M1	0.4	0.0	None
M_D_TasdA_P_asdD_aceBA_DrhtA_I_24_M1	0.2	0.00754023	Low
M_D_Tasd_P_asdD_pyc_DlysA_I_6_M1	0.14	0.0	None
7_D_Tasd_P_asdD_pyc_DlysA_I_24_M1	0.1	0.0	None
M_D_TasdA_P_asdD_zwf_DtdhDdapA_0_5p5_M1	0.0	0.012	Low
M_D_Tasd_P_asdD_rhtA_DtdhDlysC_I_24_M1	0.9	0.0	None
7_D_TasdA_P_asdD_aceBA_DmetL_I_24_M1	0.19	0.0	None
7_D_TasdA_P_asdD_000_D000_I_6_M1	0.95	0.331320471	Low
M_D_Tasd_P_asdD_000_DtdhDdapA_0_24_M1	0.22	0.0	None
7_D_TasdA1_P_asdD_000_DlysC_0_24_M1	3.04	0.0	None
M_D_TasdA_P_asdD_zwf_DtdhDlysC_0_5p5_M1	0.0	0.03	Low
M_D_TasdA1_P_asdD_pyc_DdapA_I_12_M1	0.39	0.0	None
7_D_TasdA1_P_asdD_rhtA_DtdhDrhtA_I_5p5_M1	0.64	0.065	Low
M_D_TasdA_P_asdD_rhtA_DtdhDptsG_I_5p5_M1	0.39	0.0	None
7_0_0_A_asdO_000_D000_I_12_M1	2.62	0.309604842	Low
M_D_Tasd_P_asdD_000_DtdhDlysC_I_24_M1	0.77	0.0	None
M_D_TasdA_P_asdD_pntAB_DtdhDdapA_I_12_M1	0.38	0.053703786	Low
M_D_Tasd_P_asdD_000_DmetL_0_4p5_M1	0.03	0.0	None
7_D_TasdA_P_asdD_zwf_Dtdh_0_6_M1	0.63	0.138568733	Low
M_D_Tasd_P_asdD_000_Dtdh_I_12_M1	0.29	0.0	None
7_D_TasdA1_P_asdD_pyc_DtdhDrhtA_0_24_M1	2.28	0.054	Low
7_D_Tasd_P_asdD_000_DmetL_0_24_M1	0.02	0.0	None
7_D_TasdA_P_asdD_rhtA_DdhaM_0_24_M1	0.65	0.037	Low
7_D_TasdA_P_asdD_zwf_DdapA_I_12_M1	0.0	0.0	None
M_D_TasdA_P_asdD_000_DlysC_0_12_M1	1.59	0.115665375	Low
M_D_TasdA1_P_asdD_000_DtdhDmetL_0_24_M1	0.0	0.0	None
